DATE,DJIA
2017-01-02,.
2017-01-03,19881.76
2017-01-04,19942.16
2017-01-05,19899.29
2017-01-06,19963.80
2017-01-09,19887.38
2017-01-10,19855.53
2017-01-11,19954.28
2017-01-12,19891.00
2017-01-13,19885.73
2017-01-16,.
2017-01-17,19826.77
2017-01-18,19804.72
2017-01-19,19732.40
2017-01-20,19827.25
2017-01-23,19799.85
2017-01-24,19912.71
2017-01-25,20068.51
2017-01-26,20100.91
2017-01-27,20093.78
2017-01-30,19971.13
2017-01-31,19864.09
2017-02-01,19890.94
2017-02-02,19884.91
2017-02-03,20071.46
2017-02-06,20052.42
2017-02-07,20090.29
2017-02-08,20054.34
2017-02-09,20172.40
2017-02-10,20269.37
2017-02-13,20412.16
2017-02-14,20504.41
2017-02-15,20611.86
2017-02-16,20619.77
2017-02-17,20624.05
2017-02-20,.
2017-02-21,20743.00
2017-02-22,20775.60
2017-02-23,20810.32
2017-02-24,20821.76
2017-02-27,20837.44
2017-02-28,20812.24
2017-03-01,21115.55
2017-03-02,21002.97
2017-03-03,21005.71
2017-03-06,20954.34
2017-03-07,20924.76
2017-03-08,20855.73
2017-03-09,20858.19
2017-03-10,20902.98
2017-03-13,20881.48
2017-03-14,20837.37
2017-03-15,20950.10
2017-03-16,20934.55
2017-03-17,20914.62
2017-03-20,20905.86
2017-03-21,20668.01
2017-03-22,20661.30
2017-03-23,20656.58
2017-03-24,20596.72
2017-03-27,20550.98
2017-03-28,20701.50
2017-03-29,20659.32
2017-03-30,20728.49
2017-03-31,20663.22
2017-04-03,20650.21
2017-04-04,20689.24
2017-04-05,20648.15
2017-04-06,20662.95
2017-04-07,20656.10
2017-04-10,20658.02
2017-04-11,20651.30
2017-04-12,20591.86
2017-04-13,20453.25
2017-04-14,.
2017-04-17,20636.92
2017-04-18,20523.28
2017-04-19,20404.49
2017-04-20,20578.71
2017-04-21,20547.76
2017-04-24,20763.89
2017-04-25,20996.12
2017-04-26,20975.09
2017-04-27,20981.33
2017-04-28,20940.51
2017-05-01,20913.46
2017-05-02,20949.89
2017-05-03,20957.90
2017-05-04,20951.47
2017-05-05,21006.94
2017-05-08,21012.28
2017-05-09,20975.78
2017-05-10,20943.11
2017-05-11,20919.42
2017-05-12,20896.61
2017-05-15,20981.94
2017-05-16,20979.75
2017-05-17,20606.93
2017-05-18,20663.02
2017-05-19,20804.84
2017-05-22,20894.83
2017-05-23,20937.91
2017-05-24,21012.42
2017-05-25,21082.95
2017-05-26,21080.28
2017-05-29,.
2017-05-30,21029.47
2017-05-31,21008.65
2017-06-01,21144.18
2017-06-02,21206.29
2017-06-05,21184.04
2017-06-06,21136.23
2017-06-07,21173.69
2017-06-08,21182.53
2017-06-09,21271.97
2017-06-12,21235.67
2017-06-13,21328.47
2017-06-14,21374.56
2017-06-15,21359.90
2017-06-16,21384.28
2017-06-19,21528.99
2017-06-20,21467.14
2017-06-21,21410.03
2017-06-22,21397.29
2017-06-23,21394.76
2017-06-26,21409.55
2017-06-27,21310.66
2017-06-28,21454.61
2017-06-29,21287.03
2017-06-30,21349.63
2017-07-03,21479.27
2017-07-04,.
2017-07-05,21478.17
2017-07-06,21320.04
2017-07-07,21414.34
2017-07-10,21408.52
2017-07-11,21409.07
2017-07-12,21532.14
2017-07-13,21553.09
2017-07-14,21637.74
2017-07-17,21629.72
2017-07-18,21574.73
2017-07-19,21640.75
2017-07-20,21611.78
2017-07-21,21580.07
2017-07-24,21513.17
2017-07-25,21613.43
2017-07-26,21711.01
2017-07-27,21796.55
2017-07-28,21830.31
2017-07-31,21891.12
2017-08-01,21963.92
2017-08-02,22016.24
2017-08-03,22026.10
2017-08-04,22092.81
2017-08-07,22118.42
2017-08-08,22085.34
2017-08-09,22048.70
2017-08-10,21844.01
2017-08-11,21858.32
2017-08-14,21993.71
2017-08-15,21998.99
