Date;text;approval_date
2017-01-20;americans americans every city near far small large mountain mountain time remember follow two simple rules buy american hire american inaugurationday maga bring back jobs bring back borders bring back wealth bring back dreams forgotten men women country forgotten longer moment fs going americafirst january th remembered day people became rulers nation truly matters party controls government whether government controlled people power washington c giving back american people inaugurationday today merely transferring power one administration another one party another transferring begins today see swearing movement continues work begins thank wonderful evening washington c inauguration thank joining us lincoln memorial tonight special evening together going make c;45.46693
2017-01-21;fantastic day evening washington c thank foxnews many news outlets great reviews speech thank another wonderful evening washington c together make america great;45.44264
2017-01-22;peaceful protests hallmark democracy even always agree recognize rights people express views wow television ratings million people watched inauguration million good ratings years ago watched protests yesterday impression election people vote celebs hurt cause badly great meeting cia headquarters yesterday packed house paid great respect wall long standing ovations amazing people win;47.76497
2017-01-23;busy week planned heavy focus jobs national security top executives coming talk manufacturing america;44.37598
2017-01-24;signing orders move forward construction keystone xl dakota access pipelines oval c great meeting automobile industry leaders whitehouse morning together maga photo delivered yesterday displayed upper lower press hall thank abbas meeting top automobile executives concerning jobs america want new plants built cars sold;44.13586
2017-01-25;interviewed davidmuir tonight clock abc first interview white house c making supreme court pick thursday next week thank even registered vote dead many long time depending results strengthen voting procedures asking major investigation voter fraud including registered vote two states illegal big day planned national security tomorrow among many things build wall chicago fix horrible carnage going shootings killings send feds congratulations foxnews number one inauguration ratings many times higher fake news cnn public smart great meeting ford ceo mark fields general motors ceo mary barra whitehouse today;43.87527
2017-01-26;miami dade mayor drops sanctuary policy right decision strong interviewed seanhannity foxnews pm tonight enjoy spoke congressional gop retreat philadelphia pa afternoon w vp senatemajldr speakerryan th c spoke congressional gop retreat philadelphia pa afternoon w vp senmajleader speakerryan th c jobs companies lost mexico unwilling pay badly needed wall would better cancel upcoming meeting u billion dollar trade deficit mexico one sided deal beginning nafta massive numbers ungrateful traitor chelsea manning never released prison calling president obama weak leader terrible interview david muir abc news minutes enjoy romoabcnews davidmuir first potus interview since taking office tonight abcworldnews abc tonight president higher duty protect lives american people beginning today united states america gets back control borders full speech today dhsgov c;44.14589
2017-01-27;promise administration always back always congratulations secretary mattis statement international holocaust remembrance day vp mike pence speaking today marchforlife full support marchforlife important marching full support mexico taken advantage u long enough massive trade deficits little help weak border must change look forward seeing final results votestand gregg phillips crew say least votes illegal must better;44.09903
2017-01-28;interviewed thebrodyfile cbnnews tonight pm enjoy today remember crew space shuttle challenger years later neverforget dwindling subscribers readers got wrong right beginning still changed course never dishonest thr coverage nytimes washingtonpost gas false angry times actually apologized failing nytimes wrong beginning said would lose primaries general election fake news;44.34048
2017-01-29;interviewed thebrodyfile cbnnews tonight pm enjoy statement regarding recent executive order concerning extreme vetting senators focus energies isis illegal immigration border security instead always looking start world war iii joint statement former presidential candidates john mccain lindsey graham wrong sadly weak immigration two christians middle east executed large numbers cannot allow horror continue country needs strong borders extreme vetting look happening europe indeed world horrible mess somebody aptitude conviction buy fake news failing nytimes either run correctly let fold dignity;44.79341
2017-01-30;american dream back fre going create environment small business like ft many c outrage democrats opposition party media jobs fleeing country made decision nominate united states supreme court announced live tuesday p w h ban announced one week notice bad would rush country week lot bad dudes nothing nice searching terrorists enter country big part campaign study world protesters tears senator schumer secretary kelly said going well problems make america safe people detained held questioning big problems airports caused delta computer outage;44.81124000000001
2017-01-31;democrats give us attorney general rest cabinet ashamed wonder c work nancy pelosi fake tears chuck schumer held rally steps supreme court mic work mess like dem party democrats delaying cabinet picks purely political reasons nothing going obstruct obama g;44.21341
2017-02-01;everybody arguing whether ban call want keeping bad people bad intentions country hope like nomination judge neil gorsuch united states supreme court good brilliant man respected join live whitehouse getting ready deliver important decision p;44.23746
2017-02-02;thank samsung would love iran last legs ready collapse u came along gave life line form iran deal billion iran formally put notice firing ballistic missile thankful terrible deal u made attending chief ryan owens dignified transfer yesterday daughter ivanka great honor great brave man thank congratulations rex tillerson sworn new secretary state star u c berkeley allow free speech practices violence innocent people different point view federal funds believe obama administration agreed take thousands illegal immigrants australia study dumb deal iran rapidly taking iraq even u squandered three trillion dollars obvious long ago;44.43742
2017-02-03;must keep evil country new radical islamic terrorist attacked louvre museum paris tourists locked france edge get smart u professional anarchists thugs paid protesters proving point millions people voted make america great meeting biggest business leaders morning good jobs coming back u health care tax bills crafted thank prime minister australia telling truth civil conversation fake news media lied nice iran playing fire appreciate kind president obama yes arnold schwarzenegger really bad job governor california even worse apprentice least tried hard;44.42256
2017-02-04;lawyers looking using federal court decision boston conflict ridiculous lift ban decision ban lifted judge many bad dangerous people may pouring country terrible decision country coming judge halt homeland security travel ban anyone even bad intentions come u make america great forced apologize bad inaccurate coverage winning election fake news nytimes still lost opinion called judge essentially takes law enforcement away country ridiculous overturned interesting certain middle eastern countries agree ban know certain people allowed death destruction country longer able say cannot come especially reasons safety security big trouble countries charge u companies taxes tariffs u charges nothing little charge charge us;44.65995
2017-02-05;enjoy superbowl continue make america great interviewed oreillyfactor p prior superbowl pre game show fox network enjoy instructed homeland security check people coming country carefully courts making job difficult cannot believe judge would put country peril something happens blame court system people pouring bad judge opens country potential terrorists others best interests heart bad people happy interview oreillyfactor fox network p prior super bowl enjoy;44.50491
2017-02-06;extended interview super bowl oreillyfactor airs tonight p enjoy failing nytimes writes total fiction concerning gotten wrong two years making stories sources interviewed oreillyfactor tonight p call shots largely based accumulation data everyone knows fake news media order marginalize lies negative polls fake news like cnn abc nbc polls election sorry people want border security extreme vetting amazing comeback win patriots tom brady bob kraft coach b total winners wow;44.34582
2017-02-07;honor national sheriffs assoc join whitehouse incredible men women protect serv c know putin deals russia haters going crazy yet obama make deal iran terror problem know putin deals russia haters going crazy yet obama make deal iran terror problem threat radical islamic terrorism real look happening europe middle east courts must act fast failing nytimes forced apologize subscribers poor reporting election win worse;44.28156
2017-02-08;trump administration seen truthful news media majority leading eu nations support trump style travel ban poll people countries immigration ban one trump popular orders far thank brian krzanich ceo intel great investment billion american innovation jobs c big increase traffic country certain areas people far vulnerable wait easy fake news stories reporters run since trump daughter ivanka treated unfairly nordstrom great person always pushing right thing terrible thank great police chiefs sheriffs leadership service true friend c speaking today police chiefs sheriffs discussing horrible dangerous wrong decision u win case obviously never security safety entitled politics disgrace full cabinet still place longest delay history country obstruction democrats;44.42348
2017-02-09;see court security nation stake join us live oval office swearing new attorney general senatorsessions live c ryan died winning mission according general mattis failure time u get smart start winning long know win anymore look mess country bogged conflict place hero sen mccain talking success failure mission media emboldens enemy losing chris cuomo interview sen blumenthal never asked long term lie brave service vietnam fake news sen richard blumenthal never fought vietnam said years major lie misrepresents judge gorsuch told congratulations new attorney general senatorsessions;44.30565
2017-02-10;heading joint base andrews marineone prime minister shinz earlier today failing nytimes major fake news china story saying mr xi spoken mr trump since nov spoke length yesterday lawfare remarkably entire opinion panel bother even cite statute disgraceful decision;43.46242
2017-02-11;working dinner tonight prime minister abe japan representatives winter white house mar lago good talks played golf today prime minister abe japan thebig easy ernie els great time japan well represented playef golf today prime minister abe japan thebig easy ernie els great time japan well represented proud daughter ivanka abused treated badly media still hold head high truly wonderful great time hosting prime minister shinzo abe united states melania hosting japanese prime minister shinzo abe mrs abe mar lago palm beach fla wonderful couple design negotiations yet like f fighterjet air force one program price come way reading great border wall cost government originally thought gotten involved legal system broken refugees allowed u since travel reprieve hail seven suspect countries wt dangerous;44.47177
2017-02-12;leaving florida big crowds enthusiastic supporters lining road fake news media refuses mention dishonest congratulations stephen miller representing morning various sunday morning shows great job know mark cuban well backed big time interested taking calls smart enough run president two days productive talks prime minister abe heading back japan l fake news cnn bernie sanders cut using term fake news describe network said technical difficulties refugees admitted u court breakdown countries syria iraq somalia iran sudan libya yemen crackdown illegal criminals merely keeping campaign promise gang members drug dealers others removed icymi joint statement prime minister shinzo abe north korea;44.49281
2017-02-13;wonderful meeting canadian pm justintrudeau group leading ceo business women canada th c welcome whitehouse prime minister justintrudeau today meet canadian pm trudeau group leading business women discuss women workforce;44.57693
